OTU,Kingdom,Phylum,Class,Order,Family,Genus,Oliver4,Oliver7,Oliver8,Oliver9,Oliver10,Oliver11,Oliver12,Oliver13,Oliver14,Oliver15,Oliver16,Oliver17,Oliver18,Oliver19,Oliver20,Oliver21,Oliver22,Oliver25,Oliver27,Oliver28,Oliver30,Oliver31,Oliver37,Oliver38,Oliver39,Oliver44,Oliver45,Oliver49,Oliver50,Oliver51,Oliver55,Oliver56,Oliver57,Oliver62,Oliver63,Oliver64,Oliver68,Oliver69,Oliver78,Oliver81,Oliver82,Oliver83,Oliver84,Oliver85,Oliver86,Oliver87,Oliver88,Oliver89,Oliver90,Oliver91,Oliver92,Oliver93,Oliver94,Oliver95,Oliver96,Oliver97,Oliver98,Oliver99,Oliver100,Oliver101,Oliver102,Oliver103,Oliver110,Oliver111,Oliver112,Oliver113,Oliver114,Oliver115,Oliver122,Oliver123,Oliver124,Oliver125,Oliver126,Oliver127,Oliver134,Oliver135,Oliver136,Oliver137,Oliver138,Oliver139,Oliver140,Oliver141,Oliver142,Oliver143,Oliver144,Oliver145,Oliver146,Oliver147,Oliver148,Oliver149,Oliver150,Oliver199,Oliver201,Oliver202,Oliver203,Oliver204,Oliver205,Oliver206,Oliver207
OTU01,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,474,609,0,0,0,458,0,0,0,0,0,0,56,385,0,261,211,391,60,243,328,136,463,499,211,208,0,0,0,27,51,2,515,16,0,0,0
OTU02,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,10,0,0,0,44,0,0,0,0,0,0,702,216,0,206,0,9,5,65,151,39,798,365,0,12,0,0,7,18,2,60,492,28,0,0,0
OTU03,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,42,0,0,1088,0,0,0,0,99,0,0,31,0,0,0,0,0,221,0,0,0,249,0,0,0
OTU04,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,3,0,6,2,2,2,2,2,0,0,9,10,2,2,0,2,2,2,64,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,227,13,10,58,49,8,0,15,32,38,0,0,7,2,10,88,61,8,140,3,12,7,44,8,12,5,0,14,5,0,20,10,0,0,0,0
OTU05,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,689,19,31,938,880,188,40,0,0,0,154,107,66,0,3,8,355,7,237,448,818,422,372,352,434,639,314,13,126,38,207,314,121,168,213,571,57,58,18,357,171,395,126,271,166,89,155,347,206,128,193,369,302,162,311,267,41,276,139,305,166,0,0,19,347,184,88,152,134,228,223,287,66,204,0,0,40,0,0,16,0,0,0,22,0,0,38,251,6,286,85,4,13,0,0,0,128,72,31
OTU06,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,8,3,12,12,10,0,9,6,0,0,0,0,7,0,6,14,6,0,0,7,8,4,6,5,2,4,2,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,124,61,3,0,3,328,0,0,2,0,0,2,2,58,0,145,95,101,18,850,87,29,154,42,84,138,0,2,0,25,50,8,670,4,0,0,0
OTU07,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,423,0,0,0,471,0,0,0,0,0,0,16,0,10,110,0,148,95,56,458,32,2,559,90,772,0,0,0,33,125,96,13,32,0,0,0
OTU08,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,96,46,99,130,122,40,111,4,0,2,0,0,14,0,8,20,228,72,198,261,521,168,132,272,358,232,240,83,110,30,187,179,101,179,204,234,90,194,37,113,106,314,100,344,162,127,127,197,136,141,188,132,166,51,104,305,89,123,94,161,117,104,5,13,271,180,117,51,144,236,248,149,69,258,35,76,27,2,15,32,50,99,63,21,30,180,66,49,5,327,142,72,32,41,52,2,116,98,46
OTU09,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,62,0,0,0,2,0,0,0,0,0,0,14,0,0,63,53,153,9,125,12,3,25,49,0,0,0,0,0,4,30,14,66,0,0,0,0
OTU010,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,Actinobacterium,413,166,369,750,533,230,596,11,5,6,0,4,9,0,8,29,73,14,21,60,94,41,80,68,62,67,28,0,0,2,32,13,15,30,37,60,0,0,2,35,3,33,15,33,2,13,23,38,39,23,37,50,46,0,64,39,21,30,44,39,0,0,0,0,33,13,12,0,32,31,30,21,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,30,15,0
OTU011,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0,157,0,0,0,0,2,0,3,0,199,0,0,48,298,0,0,60,15,81,127,17,0,0,5,25,210,456,0,3,0,0,0
OTU012,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,47,0,0,0,0,3,0,710,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU013,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,5,0,101,0,0,2,2,0,0,0,0,0,221,0,2,0,0,36,321,0,0,0,407,0,0,0,6,0,0,0,0,0,0,0,16,0,231,228,91,0,54,128,131,0,2,0,13,9,2,2,3,0,0,0
OTU014,Bacteria,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Acidobacteria_Gp1,340,130,314,463,695,139,350,47,15,19,21,29,28,56,88,311,236,43,68,311,464,166,106,202,218,359,277,19,51,9,119,193,83,108,141,285,38,34,8,214,109,217,68,135,152,84,107,202,102,90,220,166,206,70,140,242,92,121,48,228,116,0,10,82,175,135,72,157,101,156,203,106,46,141,0,0,16,0,2,65,9,13,16,11,0,11,45,106,5,144,75,12,0,3,0,2,70,39,38
OTU015,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,92,0,496,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,5,2,11,13,3,0,11,0,0,0,0,0,0,0,0,0,3,0,6,6,8,0,2,10,8,5,10,2,10,4,6,7,2,3,10,9,6,0,2,4,2,8,7,8,0,4,3,3,5,0,3,4,10,0,4,5,5,5,2,7,5,14,103,333,22,7,4,512,7,4,14,6,2,6,0,0,14,6,2,9,0,18,12,25,2,56,44,225,0,5,6,55,3,2,32,7,0,0,0
OTU017,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,6,4,0,6,4,4,7,158,11,143,20,2,14,9,4,11,28,32,67,4,50,19,8,8,7,21,13,10,8,7,13,13,12,0,21,20,7,8,6,13,19,0,0,2,17,10,5,26,12,6,14,59,22,13,2,12,57,500,2,121,0,0,95,4,0,10,4,7,9,24,23,16,58,0,2,7,0,0,0
OTU018,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU019,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,Actinomadura,143,61,93,172,95,43,121,17,4,9,5,0,87,6,21,90,126,20,44,67,44,31,100,51,40,64,81,42,129,186,48,86,32,39,52,98,46,203,54,14,59,93,68,121,59,270,153,96,41,41,109,214,52,20,86,27,56,129,158,59,37,0,0,0,81,53,21,0,28,102,144,95,46,83,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,53,36,3,0,0,0,0,36,17,43
OTU020,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,2,4,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,16,0,0,0,0,5,84,12,0,3,2,6,0,0,0,180,0,0,0,12,9,76,143,0,179,134,22,4,4,6,30,0,67,2,0,0,0,0
OTU021,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,6,0,6,5,3,0,3,0,0,0,0,0,0,0,0,2,70,0,14,20,14,34,12,20,27,6,20,99,122,63,23,45,5,34,30,15,82,74,32,38,53,14,18,95,0,8,56,49,7,17,59,45,23,4,30,0,28,14,7,8,8,114,66,0,11,99,8,79,22,23,13,59,6,53,160,138,2,417,94,20,63,145,210,15,185,279,21,20,2,15,18,2,118,62,19,0,9,6,14
OTU022,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,11,21,0,61,0,4,14,4,394,0,0,3,0,0,0,0,0,0,6,27,2,0,0,0,0
OTU023,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,11,10,20,40,5,4,8,0,7,52,68,178,3,7,3,4,0,9,63,40,26,5,12,2,4,11,2,5,6,3,2,5,13,12,0,0,4,8,0,0,0,0,2,31,59,7,18,7,0,0,15,5,32,70,13,15,99,171,25,143,6,95,392,31,53,0,88,91,11,0,0,8,3,33,108,64,23,10,0,0,0
OTU024,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,69,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU025,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,2,6,0,0,0,0,0,19,39,22,0,0,0,0,0,0,10,2,4,4,2,0,8,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2,0,7,4,0,2,0,0,2,8,2,0,46,73,2,128,32,0,130,11,62,28,25,198,7,52,0,0,0,53,144,80,154,15,0,0,0
OTU026,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,2,0,0,23,43,2,17,101,0,126,0,0,7,337,0,0,0,0,0,0,0,0,12,6,0,0,0,0
OTU027,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,39,0,2,0,28,0,0,0,0,0,0,0,0,0,25,83,0,0,0,0,0
OTU028,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,100,0,0,0,315,195,0,10,0,2,0,0,0,0,0,54,2,89,0,0,0,0,0
OTU029,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,26,21,0,0,4,186,0,139,0,57,0,11,0,0,14,546,0,0,0,0
OTU030,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,306,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU031,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,19,54,0,0,0,3,0,0,0,0,0,0,132,53,0,66,28,0,0,12,83,0,71,73,0,0,0,0,0,2,7,2,5,2,0,0,0
OTU032,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,21,0,0,0,0,0,42,106,8,0,0,0,2,0,0,30,31,16,0,0,12,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,2,0,0,0,0,0,9,0,0,154,16,54,286,58,0,0,0,79,8,192,2,5,0,0,2,4,2,18,12,8,0,0,0,0
OTU033,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU034,Bacteria,unclassified,unclassified,unclassified,unclassified,uncultured Planctomycetaceae ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,4,11,3,0,4,0,3,6,15,2,0,5,0,0,0,9,27,10,0,6,2,11,0,0,5,0,2,2,3,0,0,0,11,0,3,0,0,0,2,4,0,116,0,0,2,17,3,3,12,11,12,11,2,3,49,25,0,272,21,48,18,15,54,8,2,29,0,8,0,5,0,53,12,0,25,0,2,2,2
OTU035,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,122,65,88,142,71,21,83,0,0,0,2,0,0,0,0,0,84,28,30,95,117,44,175,83,63,173,43,0,8,2,41,43,19,14,27,117,0,5,0,27,18,68,11,26,22,7,19,43,16,23,46,32,47,42,151,33,9,19,41,116,30,0,0,0,70,14,12,0,8,20,36,10,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,41,7,0,0,0,0,0,21,6,5
OTU036,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,Hyphomicrobiaceae,Rhizomicrobium,36,6,21,19,23,3,9,0,0,0,4,3,2,0,2,12,298,75,130,380,571,178,99,191,141,319,226,124,316,74,151,192,99,147,159,177,89,149,35,194,138,168,91,211,136,52,174,120,71,78,172,154,160,45,188,231,88,119,62,165,75,90,36,29,216,156,70,164,162,125,119,227,50,115,172,27,243,59,37,172,224,190,108,66,9,71,113,323,11,164,56,208,133,91,77,24,55,33,49
OTU037,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,20,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,2,4,3,13,4,0,2,2,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU038,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,2,2,0,0,24,0,0,0,0,5,0,0,2,0,0,0,0
OTU039,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,3,6,2,0,0,11,5,0,0,9,57,29,0,0,0,2,0,0,8,19,0,3,2,5,4,12,2,0,9,0,0,0,2,0,0,0,0,0,2,0,0,0,0,7,0,0,14,22,0,0,0,0,5,30,0,4,206,0,0,239,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,2,0
OTU040,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,220,10,0,0,110,0,0,4,48,0,31,0,0,0,3,40,38,14,0,0,0,0,0
OTU041,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Archangium,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,68,5,0,0,0,12,0,25,0,0,0,56,225,39,0,0,0,0,0,0,46,34,37,0,55,28,9,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,21,3,0,18,11,0,77,7,32,52,13,11,0,0,19,0,0,0,0,0,3,100,11,27,0,0,0,0
OTU042,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinospicaceae,Actinospica,104,60,120,180,136,52,172,28,0,18,9,12,20,4,15,57,53,12,38,67,95,61,32,55,72,122,45,10,54,20,41,38,24,36,39,112,21,24,0,32,21,50,6,21,27,8,16,51,26,13,30,23,35,123,34,68,8,17,22,140,34,0,2,0,109,30,31,0,28,63,58,45,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,22,0,0,0,0,0,11,14,7
OTU043,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU044,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,23,50,168,262,24,18,89,95,106,90,2,8,4,74,75,36,21,42,90,5,15,0,21,17,70,23,84,49,21,32,47,21,29,78,53,28,10,56,57,23,32,18,72,37,0,0,0,28,39,14,0,25,69,32,19,12,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,93,10,2,0,0,0,0,26,10,15
OTU045,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niastella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,3,0,0,0,3,0,0,56,77,0,0,28,0,0,0,0,0,0,21,10,8,11,0,0,0
OTU046,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,2,0,0,0,0,0,0,16,10,7,12,11,4,26,14,41,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,17,0,0,0,0,0,8,264,0,0,0,0,0,0,0,0,0,21,0,0,0,0
OTU047,Bacteria,unclassified,unclassified,unclassified,Verrucomicrobiaceae,Prosthecobacter ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,8,44,58,10,0,18,11,5,24,19,25,8,38,20,55,49,47,4,3,115,27,26,31,13,26,19,35,15,47,6,12,40,66,44,8,5,67,18,34,8,0,42,62,0,0,0,12,35,0,0,35,26,5,52,6,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,18,39,31,0,0,0,0,16,7,4
OTU048,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,6,0,14,5,23,17,0,0,24,18,11,0,0,0,11,5,0,32,21,7,10,0,26,6,9,9,7,5,28,0,2,3,0,0,0,0,6,0,0,0,0,0,2,2,0,35,14,0,0,4,0,12,0,0,2,0,78,0,0,15,0,0,0,37,0,9,203,0,0,0,3,8,0,0,0,3,17,0,0,0
OTU049,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter ,140,47,99,198,145,44,116,3,0,2,4,0,0,0,5,9,59,7,22,46,63,63,23,34,46,78,50,0,45,5,46,50,14,68,45,73,16,17,3,98,69,129,29,74,85,47,85,110,50,30,64,80,58,17,85,56,28,41,24,60,38,0,0,0,89,18,26,0,25,41,58,30,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,28,0,0,0,0,0,15,15,15
OTU050,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,unclassified,Actinobacterium,212,92,195,276,183,84,167,13,2,5,0,3,0,0,8,28,42,7,37,51,74,32,22,52,57,45,36,3,11,0,15,29,6,37,31,44,4,10,3,24,15,20,19,33,15,18,15,8,15,10,28,31,26,7,36,26,10,15,23,25,12,0,0,0,36,25,14,0,21,27,28,8,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,16,0,0,0,0,0,5,7,10
OTU051,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,135,0,0,116,0,0,0,0,0,0,0,0,0,2,0,8,3,0,0,0,0
OTU052,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,14,2,14,2,20,8,3,8,41,72,38,22,9,11,11,2,14,20,26,15,12,22,10,5,11,12,5,9,5,8,4,22,7,13,3,26,9,8,5,5,10,11,108,3,22,11,10,7,0,16,3,15,41,10,2,23,92,32,181,12,0,25,6,23,8,131,75,26,18,0,13,53,31,20,9,58,5,0,0,0
